"filename", "language", "Python", "comment", "blank", "total"
"/home/tavakoli/Desktop/mac layer simulation py/log_event.py", "Python", 6, 0, 1, 7
"/home/tavakoli/Desktop/mac layer simulation py/main.py", "Python", 109, 7, 16, 132
"/home/tavakoli/Desktop/mac layer simulation py/medium.py", "Python", 62, 3, 7, 72
"/home/tavakoli/Desktop/mac layer simulation py/node.py", "Python", 52, 3, 9, 64
"/home/tavakoli/Desktop/mac layer simulation py/node_newMac.py", "Python", 103, 8, 13, 124
"/home/tavakoli/Desktop/mac layer simulation py/pair.py", "Python", 4, 0, 0, 4
"/home/tavakoli/Desktop/mac layer simulation py/sch_task.py", "Python", 26, 2, 3, 31
"/home/tavakoli/Desktop/mac layer simulation py/task_master.py", "Python", 58, 2, 7, 67
"/home/tavakoli/Desktop/mac layer simulation py/test.py", "Python", 36, 0, 10, 46
"/home/tavakoli/Desktop/mac layer simulation py/tracked_message.py", "Python", 9, 0, 2, 11
"Total", "-", 465, 25, 68, 558
