"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/README.md", "Markdown", 0, 6, 0, 1, 7
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/log_event.py", "Python", 6, 0, 0, 1, 7
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/main.py", "Python", 111, 0, 7, 15, 133
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/medium.py", "Python", 68, 0, 3, 8, 79
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node.py", "Python", 52, 0, 3, 9, 64
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink.py", "Python", 143, 0, 9, 14, 166
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_classic.py", "Python", 141, 0, 6, 14, 161
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_newMac.py", "Python", 103, 0, 8, 13, 124
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/pair.py", "Python", 4, 0, 0, 0, 4
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/sch_task.py", "Python", 28, 0, 2, 4, 34
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/task_master.py", "Python", 60, 0, 2, 7, 69
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/test.py", "Python", 36, 0, 0, 10, 46
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/tracked_message.py", "Python", 10, 0, 0, 2, 12
"Total", "-", 762, 6, 40, 98, 906
