"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/README.md", "Markdown", 0, 8, 0, 2, 10
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/main.py", "Python", 2, 0, 0, 1, 3
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node.py", "Python", -52, 0, -3, -9, -64
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink.py", "Python", -143, 0, -9, -14, -166
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_2phase_CSMAinit_TDMAop.py", "Python", 144, 0, 9, 14, 167
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_LBS.py", "Python", 189, 0, 7, 21, 217
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_classic.py", "Python", -1, 0, 0, 3, 2
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_newMac.py", "Python", -103, 0, -8, -13, -124
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_singleMac_incompleteCHmodel.py", "Python", 103, 0, 8, 13, 124
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_tokenPassing,noInit.py", "Python", 52, 0, 3, 9, 64
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/sch_task.py", "Python", 7, 0, 0, 0, 7
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/task_master.py", "Python", 19, 0, 0, 1, 20
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/tracked_message.py", "Python", 3, 0, 0, -1, 2
"Total", "-", 220, 8, 7, 27, 262
